Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Nearest Station,Distance to Nearest Station in km
Abbotsbury,-33.8692846,150.8667029,Orchid House,-33.87644877623281,150.87734584422387,Thai Restaurant,Cabramatta Railway Station,5.805052426323611
Abbotsbury,-33.8692846,150.8667029,McDonald's,-33.888235611539386,150.88175224821254,Fast Food Restaurant,Cabramatta Railway Station,4.991600826606859
Abbotsbury,-33.8692846,150.8667029,Thai Orchard House,-33.877573,150.882771,Thai Restaurant,Cabramatta Railway Station,5.298810778959887
Abbotsbury,-33.8692846,150.8667029,Pisa Cakes,-33.876193,150.876837,Dessert Shop,Cabramatta Railway Station,5.859627111023519
Abbotsbury,-33.8692846,150.8667029,Giglio's Fresh Chickens,-33.88615328274844,150.87016711693096,Fried Chicken Joint,Cabramatta Railway Station,6.085687759418781
Abbotsbury,-33.8692846,150.8667029,BP,-33.843734,150.863201,Gas Station,Rooty Hill Railway Station,8.570093030155492
Abbotsbury,-33.8692846,150.8667029,Cecil Hills Takeaway Cafe,-33.88746145108704,150.84941660546818,Café,Liverpool Railway Station,7.903304951918227
Abbotsbury,-33.8692846,150.8667029,Caffe Cherry Beans,-33.88598170627618,150.88924487984244,Café,Cabramatta Railway Station,4.39225692679542
Abbotsbury,-33.8692846,150.8667029,Gong Cha,-33.88636,150.88934,Bubble Tea Shop,Cabramatta Railway Station,4.370928156261001
Abbotsbury,-33.8692846,150.8667029,Crust Gourmet Pizza Bar,-33.888126,150.882251,Pizza Place,Cabramatta Railway Station,4.94953266650112
Abbotsbury,-33.8692846,150.8667029,Mili & Co,-33.887232,150.848412,Café,Liverpool Railway Station,7.997499985212491
Abbotsbury,-33.8692846,150.8667029,Manaqish House,-33.871265,150.89034,Bakery,Cabramatta Railway Station,5.062522096018827
Abbotsbury,-33.8692846,150.8667029,Fratelli's Italian Restaurant,-33.867550750328455,150.88215646351986,Italian Restaurant,Cabramatta Railway Station,5.916761866445743
Abbotsbury,-33.8692846,150.8667029,Pho Cô Hai,-33.88449,150.89236,Vietnamese Restaurant,Cabramatta Railway Station,4.178276752949639
Abbotsbury,-33.8692846,150.8667029,Harvest Cafe,-33.88294796712915,150.86996266449628,Café,Cabramatta Railway Station,6.192942503772896
Abbotsbury,-33.8692846,150.8667029,Xi Yan,-33.883327,150.891882,Chinese Restaurant,Cabramatta Railway Station,4.268185410679315
Abbotsbury,-33.8692846,150.8667029,Lucky Thai & Lao,-33.884459420025806,150.89285947708265,Thai Restaurant,Cabramatta Railway Station,4.136710365939483
Abbotsbury,-33.8692846,150.8667029,Sea Master,-33.88673156536599,150.88793849615067,Fish & Chips Shop,Cabramatta Railway Station,4.482270016915862
Abbotsbury,-33.8692846,150.8667029,Maison Coffee,-33.87153,150.89044,Café,Cabramatta Railway Station,5.037615753481257
Abbotsbury,-33.8692846,150.8667029,HARV.est Cafe and Bar,-33.88636695177758,150.87015231299523,Café,Cabramatta Railway Station,6.081776816054445
Abbotsford,-33.8505529,151.129759,Trovatino Cafe,-33.85763952727476,151.13107788682234,Café,Croydon Railway Station,2.655396152089529
Abbotsford,-33.8505529,151.129759,The Grindhouse Cafe,-33.85135,151.15362,Café,Wollstonecraft Railway Station,4.397556335388501
Abbotsford,-33.8505529,151.129759,Village Bakery,-33.869912,151.129249,Bakery,Croydon Railway Station,1.531089658208555
Abbotsford,-33.8505529,151.129759,Appetite,-33.868194,151.129534,Café,Croydon Railway Station,1.6680401630391708
Abbotsford,-33.8505529,151.129759,Cafe Elation,-33.8301,151.12642,Café,Concord West Railway Station,3.490715348838678
Abbotsford,-33.8505529,151.129759,Nield Park Pavilion,-33.86466131284446,151.14478453017418,Café,Croydon Railway Station,3.06061487010349
Abbotsford,-33.8505529,151.129759,Boronia Bakehouse,-33.82227558175694,151.1341903572605,Bakery,Meadowbank Railway Station,4.261036708300617
Abbotsford,-33.8505529,151.129759,Breakfast Baked Goods & Wholefoods,-33.842026,151.10757,Café,Concord West Railway Station,1.4383897983928833
Abbotsford,-33.8505529,151.129759,Charlotte Cafe,-33.856143,151.14648,Café,Croydon Railway Station,3.7280281388486873
Abbotsford,-33.8505529,151.129759,Dos Señoritas,-33.832645,151.127622,Mexican Restaurant,Concord West Railway Station,3.4870442781910196
Abbotsford,-33.8505529,151.129759,Boronia Kitchen,-33.82097,151.13453,Australian Restaurant,Meadowbank Railway Station,4.276665970965159
Abbotsford,-33.8505529,151.129759,Prima Cucina,-33.85987,151.142451,Italian Restaurant,Croydon Railway Station,3.1772489808217803
Abbotsford,-33.8505529,151.129759,Unwritten Bookshop Cafe,-33.82205785309875,151.134786203605,Café,Meadowbank Railway Station,4.3127500875364655
Abbotsford,-33.8505529,151.129759,McDonald's,-33.8502016144458,151.1533814857012,Fast Food Restaurant,Wollstonecraft Railway Station,4.360312873173155
Abbotsford,-33.8505529,151.129759,McDonald's,-33.86979379629414,151.1144986400794,Fast Food Restaurant,Croydon Railway Station,0.895858368576654
Abbotsford,-33.8505529,151.129759,McDonald's,-33.873970287470925,151.12700543473437,Fast Food Restaurant,Croydon Railway Station,1.1312291159440215
Abbotsford,-33.8505529,151.129759,Paperboy Concord,-33.844887,151.10735,Café,Concord West Railway Station,1.4253068304276422
Abbotsford,-33.8505529,151.129759,Club Five Dock RSL,-33.8699283514254,151.12957038489813,Sports Bar,Croydon Railway Station,1.5544880415402045
Abbotsford,-33.8505529,151.129759,Pasticceria Papa,-33.88036979291894,151.1389141901686,Bakery,Summer Hill Railway Station,1.460566583969391
Abbotsford,-33.8505529,151.129759,Rocco's Cafe,-33.86675422898259,151.1300340285341,Mediterranean Restaurant,Croydon Railway Station,1.808389130739722
Acacia Gardens,-33.7324595,150.9125321,Red Rooster,-33.72972619938839,150.9216975513693,Fast Food Restaurant,Marayong Railway Station,3.4988376297243557
Acacia Gardens,-33.7324595,150.9125321,Eagle Boys Pizza,-33.74328933531272,150.92287392787543,Pizza Place,Marayong Railway Station,2.9334514011874875
Acacia Gardens,-33.7324595,150.9125321,Leaf Cafe & Co,-33.70568971166749,150.91145309580506,Coffee Shop,Schofields Railway Station,3.4888836665017187
Acacia Gardens,-33.7324595,150.9125321,Hungry Jack's,-33.72513300617564,150.9391799988788,Fast Food Restaurant,Marayong Railway Station,5.120534831377637
Acacia Gardens,-33.7324595,150.9125321,McDonald's,-33.744329715511704,150.91616316261354,Fast Food Restaurant,Marayong Railway Station,2.302926670917544
Acacia Gardens,-33.7324595,150.9125321,Chicken Run,-33.72641,150.88485,Fried Chicken Joint,Quakers Hill Railway Station,1.049774796117569
Acacia Gardens,-33.7324595,150.9125321,Franky And Co,-33.743346,150.923169,Café,Marayong Railway Station,2.9586684800448944
Acacia Gardens,-33.7324595,150.9125321,Simply Seafood,-33.742776055951744,150.9234874998415,Seafood Restaurant,Marayong Railway Station,3.0017879536898833
