Suburb,Suburb Latitude,Suburb Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Abbotsbury,-33.8692846,150.8667029,Orchid House,-33.87644877623281,150.87734584422387,Thai Restaurant
Abbotsbury,-33.8692846,150.8667029,McDonald's,-33.888235611539386,150.88175224821254,Fast Food Restaurant
Abbotsbury,-33.8692846,150.8667029,Thai Orchard House,-33.877573,150.882771,Thai Restaurant
Abbotsbury,-33.8692846,150.8667029,Pisa Cakes,-33.876193,150.876837,Dessert Shop
Abbotsbury,-33.8692846,150.8667029,Giglio's Fresh Chickens,-33.88615328274844,150.87016711693096,Fried Chicken Joint
Abbotsbury,-33.8692846,150.8667029,BP,-33.843734,150.863201,Gas Station
Abbotsbury,-33.8692846,150.8667029,Cecil Hills Takeaway Cafe,-33.88746145108704,150.84941660546818,Café
Abbotsbury,-33.8692846,150.8667029,Caffe Cherry Beans,-33.88598170627618,150.88924487984244,Café
Abbotsbury,-33.8692846,150.8667029,Gong Cha,-33.88636,150.88934,Bubble Tea Shop
Abbotsbury,-33.8692846,150.8667029,Crust Gourmet Pizza Bar,-33.888126,150.882251,Pizza Place
Abbotsbury,-33.8692846,150.8667029,Mili & Co,-33.887232,150.848412,Café
Abbotsbury,-33.8692846,150.8667029,Manaqish House,-33.871265,150.89034,Bakery
Abbotsbury,-33.8692846,150.8667029,Fratelli's Italian Restaurant,-33.867550750328455,150.88215646351986,Italian Restaurant
Abbotsbury,-33.8692846,150.8667029,Pho Cô Hai,-33.88449,150.89236,Vietnamese Restaurant
Abbotsbury,-33.8692846,150.8667029,Harvest Cafe,-33.88294796712915,150.86996266449628,Café
Abbotsbury,-33.8692846,150.8667029,Xi Yan,-33.883327,150.891882,Chinese Restaurant
Abbotsbury,-33.8692846,150.8667029,Lucky Thai & Lao,-33.884459420025806,150.89285947708265,Thai Restaurant
Abbotsbury,-33.8692846,150.8667029,Sea Master,-33.88673156536599,150.88793849615067,Fish & Chips Shop
Abbotsbury,-33.8692846,150.8667029,Maison Coffee,-33.87153,150.89044,Café
Abbotsbury,-33.8692846,150.8667029,HARV.est Cafe and Bar,-33.88636695177758,150.87015231299523,Café
Abbotsford,-33.8505529,151.129759,Trovatino Cafe,-33.85763952727476,151.13107788682234,Café
Abbotsford,-33.8505529,151.129759,The Grindhouse Cafe,-33.85135,151.15362,Café
Abbotsford,-33.8505529,151.129759,Village Bakery,-33.869912,151.129249,Bakery
Abbotsford,-33.8505529,151.129759,Appetite,-33.868194,151.129534,Café
Abbotsford,-33.8505529,151.129759,Cafe Elation,-33.8301,151.12642,Café
Abbotsford,-33.8505529,151.129759,Nield Park Pavilion,-33.86466131284446,151.14478453017418,Café
Abbotsford,-33.8505529,151.129759,Boronia Bakehouse,-33.82227558175694,151.1341903572605,Bakery
Abbotsford,-33.8505529,151.129759,Breakfast Baked Goods & Wholefoods,-33.842026,151.10757,Café
Abbotsford,-33.8505529,151.129759,Charlotte Cafe,-33.856143,151.14648,Café
Abbotsford,-33.8505529,151.129759,Dos Señoritas,-33.832645,151.127622,Mexican Restaurant
Abbotsford,-33.8505529,151.129759,Boronia Kitchen,-33.82097,151.13453,Australian Restaurant
Abbotsford,-33.8505529,151.129759,Prima Cucina,-33.85987,151.142451,Italian Restaurant
Abbotsford,-33.8505529,151.129759,Unwritten Bookshop Cafe,-33.82205785309875,151.134786203605,Café
Abbotsford,-33.8505529,151.129759,McDonald's,-33.8502016144458,151.1533814857012,Fast Food Restaurant
Abbotsford,-33.8505529,151.129759,McDonald's,-33.86979379629414,151.1144986400794,Fast Food Restaurant
Abbotsford,-33.8505529,151.129759,McDonald's,-33.873970287470925,151.12700543473437,Fast Food Restaurant
Abbotsford,-33.8505529,151.129759,Paperboy Concord,-33.844887,151.10735,Café
Abbotsford,-33.8505529,151.129759,Club Five Dock RSL,-33.8699283514254,151.12957038489813,Sports Bar
Abbotsford,-33.8505529,151.129759,Pasticceria Papa,-33.88036979291894,151.1389141901686,Bakery
Abbotsford,-33.8505529,151.129759,Rocco's Cafe,-33.86675422898259,151.1300340285341,Mediterranean Restaurant
Acacia Gardens,-33.7324595,150.9125321,Red Rooster,-33.72972619938839,150.9216975513693,Fast Food Restaurant
Acacia Gardens,-33.7324595,150.9125321,Eagle Boys Pizza,-33.74328933531272,150.92287392787543,Pizza Place
Acacia Gardens,-33.7324595,150.9125321,Leaf Cafe & Co,-33.70568971166749,150.91145309580506,Coffee Shop
Acacia Gardens,-33.7324595,150.9125321,Hungry Jack's,-33.72513300617564,150.9391799988788,Fast Food Restaurant
Acacia Gardens,-33.7324595,150.9125321,McDonald's,-33.744329715511704,150.91616316261354,Fast Food Restaurant
Acacia Gardens,-33.7324595,150.9125321,Chicken Run,-33.72641,150.88485,Fried Chicken Joint
Acacia Gardens,-33.7324595,150.9125321,Franky And Co,-33.743346,150.923169,Café
Acacia Gardens,-33.7324595,150.9125321,Simply Seafood,-33.742776055951744,150.9234874998415,Seafood Restaurant
Acacia Gardens,-33.7324595,150.9125321,Ribs & Burgers,-33.71893575403913,150.92021160424412,Burger Joint
Acacia Gardens,-33.7324595,150.9125321,Savariya,-33.72708,150.88531,North Indian Restaurant
Acacia Gardens,-33.7324595,150.9125321,Seafood Wizard,-33.72665970653197,150.90457677841187,Fast Food Restaurant
Acacia Gardens,-33.7324595,150.9125321,Marayong Take Away,-33.746466,150.900168,Australian Restaurant
Acacia Gardens,-33.7324595,150.9125321,Love Char Grill,-33.71860646714002,150.9202889990481,Middle Eastern Restaurant
Acacia Gardens,-33.7324595,150.9125321,Chong Co,-33.71776,150.92087,Asian Restaurant
Acacia Gardens,-33.7324595,150.9125321,18 Grams,-33.718709,150.919615,Café
Acacia Gardens,-33.7324595,150.9125321,Oliver Brown,-33.7056814597363,150.91131682001898,Café
Acacia Gardens,-33.7324595,150.9125321,Black Bear BBQ,-33.752365,150.910613,BBQ Joint
Acacia Gardens,-33.7324595,150.9125321,The Coffee Club,-33.71939975631386,150.92030036127662,Café
Acacia Gardens,-33.7324595,150.9125321,The Corner Shop Cafe,-33.72693,150.90462,Café
Acacia Gardens,-33.7324595,150.9125321,Michel's Patisserie,-33.74305,150.923324,Coffee Shop
Airds,-34.09,150.8261111,Amraya,-34.087048,150.832165,Pizza Place
Airds,-34.09,150.8261111,Ah Dar’s,-34.075577,150.824343,Fish & Chips Shop
